
"Exclusion Zone 1 "

"Point","Azimuth (deg)","Elevation (deg)"
1,-44.775,34.431
2,45.000,34.327
3,45.225,34.431
4,135.000,34.327
5,135.225,34.431
6,-135.000,34.327
7,-134.775,34.431
8,-45.000,34.327
9,-44.775,34.431

"Exclusion Zone 2 "

"Point","Azimuth (deg)","Elevation (deg)"
1,-135.225,-34.431
2,135.000,-34.327
3,134.775,-34.431
4,45.000,-34.327
5,44.775,-34.431
6,-45.000,-34.327
7,-45.225,-34.431
8,-135.000,-34.327
9,-135.225,-34.431

"Exclusion Zone 3 "

"Point","Azimuth (deg)","Elevation (deg)"
1,-45.775,-35.839
2,46.000,-35.729
3,46.000,-35.516
4,46.000,35.729
5,45.775,35.839
6,-46.000,35.729
7,-46.000,35.516
8,-46.000,-12.669
9,-45.775,-12.719
10,-45.549,-12.769
11,-45.549,-12.460
12,-45.549,-11.528
13,-45.321,-11.573
14,-44.859,-11.665
15,-44.859,-11.349
16,-44.625,-11.394
17,-43.427,-11.620
18,-43.427,-11.297
19,-43.181,-11.342
20,-42.934,-11.386
21,-42.934,-11.712
22,-43.181,-11.666
23,-43.181,-11.990
24,-43.181,-12.313
25,-43.427,-12.265
26,-43.427,-12.586
27,-43.427,-13.226
28,-43.670,-13.174
29,-43.670,-13.492
30,-43.912,-13.439
31,-46.000,-12.975
32,-46.000,-13.281
33,-46.000,-35.729
34,-45.775,-35.839

"Inclusion Zone 1 (Inside Exclusion Zone 3)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-38.123,-11.161
2,-37.835,-11.204
3,-37.835,-10.851
4,-37.544,-10.893
5,-35.448,-11.184
6,-35.448,-11.547
7,-35.139,-11.590
8,-35.139,-11.953
9,-34.828,-11.997
10,-34.828,-12.361
11,-34.515,-12.406
12,-34.515,-12.770
13,-34.199,-12.817
14,-34.199,-13.181
15,-33.880,-13.229
16,-33.880,-13.593
17,-33.880,-13.956
18,-33.560,-14.006
19,-33.560,-14.369
20,-33.237,-14.420
21,-33.237,-14.783
22,-33.560,-14.731
23,-33.560,-15.092
24,-33.560,-15.451
25,-33.880,-15.396
26,-38.408,-14.570
27,-38.408,-14.229
28,-38.408,-11.118
29,-38.123,-11.161

"Inclusion Zone 2 (Inside Exclusion Zone 3)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-38.123,15.305
2,-37.252,15.477
3,-37.252,15.134
4,-36.957,15.191
5,-36.360,15.303
6,-36.360,14.955
7,-36.059,15.011
8,-35.755,15.066
9,-35.755,14.714
10,-35.448,14.768
11,-35.139,14.822
12,-35.139,14.467
13,-35.448,14.415
14,-38.123,13.940
15,-38.123,13.596
16,-38.408,13.544
17,-38.408,13.887
18,-38.408,15.248
19,-38.123,15.305

"Inclusion Zone 3 (Inside Exclusion Zone 3)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-34.828,-10.901
2,-34.199,-10.982
3,-34.199,-11.351
4,-34.515,-11.309
